"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2021-01-01 13:21:17.702000+00:00","2021-01-01 14:02:26.284000+00:00","2468","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 13:21:31.357000+00:00","2021-01-01 14:02:51.457000+00:00","2480","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 13:29:21.977000+00:00","2021-01-01 14:04:37.704000+00:00","2115","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 13:32:39.132000+00:00","2021-01-01 14:03:14.047000+00:00","1834","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801"
"2021-01-01 13:39:01.581000+00:00","2021-01-01 13:53:14.165000+00:00","852","1721","Tollcross","Outside Piccolinos off Lauriston Place","55.944248052468346","-3.2031045991104747","1757","Meggetland","Meggetland Sports Complex","55.92758664038103","-3.2336710530441906"
"2021-01-01 13:41:12.137000+00:00","2021-01-01 14:35:51.631000+00:00","3279","1821","Drumsheugh Place","Corner with Drumsheugh Gardens","55.95159412232485","-3.2123542850940225","1102","Haymarket Station","Haymarket Station","55.94556945067266","-3.21818468327956"
"2021-01-01 13:47:03.371000+00:00","2021-01-01 14:03:06.528000+00:00","963","1818","Dynamic Earth","Outside Dynamic Earth, Holyrood Road","55.951089465236365","-3.17572460948655","1818","Dynamic Earth","Outside Dynamic Earth, Holyrood Road","55.951089465236365","-3.17572460948655"
"2021-01-01 13:48:11.884000+00:00","2021-01-01 14:19:37.104000+00:00","1885","1824","Duke Street","Junction with Easter Road","55.96901164826488","-3.16739470303429","1767","Bruntsfield Links","Corner of Bruntsfield Links next to Public Toilets","55.937123239991095","-3.206431879393449"
"2021-01-01 13:49:20.330000+00:00","2021-01-01 14:03:54.522000+00:00","874","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547","265","Meadows East","Between Melville Terrace and Sciennes","55.939809466328285","-3.182738850746432"
"2021-01-01 13:50:23.374000+00:00","2021-01-01 13:59:49.932000+00:00","566","265","Meadows East","Between Melville Terrace and Sciennes","55.939809466328285","-3.182738850746432","2268","Picardy Place","Outside Omni Centre","55.95653524179326","-3.1862476120746805"
"2021-01-01 13:57:36.723000+00:00","2021-01-01 14:49:08.584000+00:00","3091","1814","Abbeyhill","Near Abbey Mount","55.95524788917224","-3.1722162800950704","1814","Abbeyhill","Near Abbey Mount","55.95524788917224","-3.1722162800950704"
"2021-01-01 14:00:45.533000+00:00","2021-01-01 14:41:17.474000+00:00","2431","1721","Tollcross","Outside Piccolinos off Lauriston Place","55.944248052468346","-3.2031045991104747","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2021-01-01 14:01:16.605000+00:00","2021-01-01 14:50:45.455000+00:00","2968","1052","Surgeons Hall","East side of Nicolson Street","55.94664279961712","-3.1854745859388913","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 14:01:21.546000+00:00","2021-01-01 14:42:38.504000+00:00","2476","1721","Tollcross","Outside Piccolinos off Lauriston Place","55.944248052468346","-3.2031045991104747","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2021-01-01 14:01:26.099000+00:00","2021-01-01 14:51:29.936000+00:00","3003","1052","Surgeons Hall","East side of Nicolson Street","55.94664279961712","-3.1854745859388913","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 14:03:55.416000+00:00","2021-01-01 14:35:08.952000+00:00","1873","264","Pollock Halls","Pollock Halls Entrance","55.94008064125911","-3.171746866852459","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 14:04:30.382000+00:00","2021-01-01 14:20:58.472000+00:00","988","1818","Dynamic Earth","Outside Dynamic Earth, Holyrood Road","55.951089465236365","-3.17572460948655","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547"
